Gender,AgeGroup,FoodCategory,Average amount consumed (g)
Female,0-9,Condiments and sauces,0.0
Female,10-19,Condiments and sauces,15.3051407430256
Female,20-29,Condiments and sauces,20.760139383748
Female,30-39,Condiments and sauces,20.176960395193557
Female,40-49,Condiments and sauces,17.29331390780385
Female,50-59,Condiments and sauces,16.417370843086566
Female,60-69,Condiments and sauces,12.228829938525848
Female,70-79,Condiments and sauces,18.542323486058116
Female,80-89,Condiments and sauces,0.0
Female,90-99,Condiments and sauces,0.0
Male,0-9,Condiments and sauces,0.0
Male,10-19,Condiments and sauces,26.743544535308665
Male,20-29,Condiments and sauces,28.79118363819697
Male,30-39,Condiments and sauces,28.310323594708617
Male,40-49,Condiments and sauces,25.27622751802772
Male,50-59,Condiments and sauces,20.94918059708974
Male,60-69,Condiments and sauces,15.689789502156183
Male,70-79,Condiments and sauces,17.535373542890536
Male,80-89,Condiments and sauces,0.0
Male,90-99,Condiments and sauces,0.0
Female,0-9,Dairy and alternatives,0.0
Female,10-19,Dairy and alternatives,580.6089876079444
Female,20-29,Dairy and alternatives,782.5253587171859
Female,30-39,Dairy and alternatives,731.7068616520173
Female,40-49,Dairy and alternatives,663.2274436187075
Female,50-59,Dairy and alternatives,631.5006457244439
Female,60-69,Dairy and alternatives,645.0683925513711
Female,70-79,Dairy and alternatives,651.3637555229898
Female,80-89,Dairy and alternatives,0.0
Female,90-99,Dairy and alternatives,0.0
Male,0-9,Dairy and alternatives,0.0
Male,10-19,Dairy and alternatives,926.4138496640185
Male,20-29,Dairy and alternatives,1190.1884273653927
Male,30-39,Dairy and alternatives,1083.2227708406256
Male,40-49,Dairy and alternatives,1005.7545818363146
Male,50-59,Dairy and alternatives,957.9584852900165
Male,60-69,Dairy and alternatives,868.6743565801297
Male,70-79,Dairy and alternatives,727.6807574636566
Male,80-89,Dairy and alternatives,0.0
Male,90-99,Dairy and alternatives,0.0
Female,0-9,Eggs,0.0
Female,10-19,Eggs,4.178571428571429
Female,20-29,Eggs,18.28527131782946
Female,30-39,Eggs,18.734319526627218
Female,40-49,Eggs,24.176953125000008
Female,50-59,Eggs,26.85906735751295
Female,60-69,Eggs,25.208666666666662
Female,70-79,Eggs,27.95
Female,80-89,Eggs,0.0
Female,90-99,Eggs,0.0
Male,0-9,Eggs,0.0
Male,10-19,Eggs,19.36470588235294
Male,20-29,Eggs,35.22396694214875
Male,30-39,Eggs,28.21985294117647
Male,40-49,Eggs,22.587709497206703
Male,50-59,Eggs,29.256770833333338
Male,60-69,Eggs,26.18970588235294
Male,70-79,Eggs,24.161538461538463
Male,80-89,Eggs,0.0
Male,90-99,Eggs,0.0
Female,0-9,Fish,0.0
Female,10-19,Fish,127.95000000000002
Female,20-29,Fish,93.1922480620155
Female,30-39,Fish,118.92426035502957
Female,40-49,Fish,147.60937499999991
Female,50-59,Fish,184.14455958549226
Female,60-69,Fish,197.48600000000005
Female,70-79,Fish,267.06428571428575
Female,80-89,Fish,0.0
Female,90-99,Fish,0.0
Male,0-9,Fish,0.0
Male,10-19,Fish,82.89999999999999
Male,20-29,Fish,131.38595041322313
Male,30-39,Fish,190.91397058823526
Male,40-49,Fish,165.00782122905028
Male,50-59,Fish,246.08697916666665
Male,60-69,Fish,303.07549019607865
Male,70-79,Fish,296.62307692307695
Male,80-89,Fish,0.0
Male,90-99,Fish,0.0
Female,0-9,Fruits and nuts,0.0
Female,10-19,Fruits and nuts,410.6857142857143
Female,20-29,Fruits and nuts,545.8486880597111
Female,30-39,Fruits and nuts,671.0630127269178
Female,40-49,Fruits and nuts,628.0524348568485
Female,50-59,Fruits and nuts,700.6247101431251
Female,60-69,Fruits and nuts,752.4949221556886
Female,70-79,Fruits and nuts,717.6999999999999
Female,80-89,Fruits and nuts,0.0
Female,90-99,Fruits and nuts,0.0
Male,0-9,Fruits and nuts,0.0
Male,10-19,Fruits and nuts,460.1941176470588
Male,20-29,Fruits and nuts,510.4633001134339
Male,30-39,Fruits and nuts,554.0507352941177
Male,40-49,Fruits and nuts,564.2251396648046
Male,50-59,Fruits and nuts,634.3562500000002
Male,60-69,Fruits and nuts,732.3111519607846
Male,70-79,Fruits and nuts,680.946153846154
Male,80-89,Fruits and nuts,0.0
Male,90-99,Fruits and nuts,0.0
Female,0-9,Grains and cereals,0.0
Female,10-19,Grains and cereals,556.9785714285714
Female,20-29,Grains and cereals,620.3283661957047
Female,30-39,Grains and cereals,663.9051664701439
Female,40-49,Grains and cereals,600.1368828569214
Female,50-59,Grains and cereals,552.0352523764805
Female,60-69,Grains and cereals,520.2219302050544
Female,70-79,Grains and cereals,581.2315783501646
Female,80-89,Grains and cereals,0.0
Female,90-99,Grains and cereals,0.0
Male,0-9,Grains and cereals,0.0
Male,10-19,Grains and cereals,1171.8764705882352
Male,20-29,Grains and cereals,1043.3290060492168
Male,30-39,Grains and cereals,934.7396931250842
Male,40-49,Grains and cereals,858.7489238740595
