Source: Wittgenstein Centre for Demography and Global Human Capital (2023). Wittgenstein Centre Data Explorer Version 3.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size (000's)"
"De facto population in a country or region, classified by sex and by five-year age groups. Available in all scenarios and at all geographical scales. Figures are presented in thousands."
"Multiple Scenarios"
" "
"Scenario","Area","Year","Population"
"SSP1","Norway",2020,5368
"SSP1","Norway",2025,5509
"SSP1","Norway",2030,5630.9
"SSP1","Norway",2035,5752.3
"SSP1","Norway",2040,5870.8
"SSP1","Norway",2045,5990.2
"SSP1","Norway",2050,6114.8
"SSP1","Norway",2055,6217.3
"SSP1","Norway",2060,6300.2
"SSP1","Norway",2065,6363.8
"SSP1","Norway",2070,6414.3
"SSP1","Norway",2075,6453.5
"SSP1","Norway",2080,6466.1
"SSP1","Norway",2085,6421.4
"SSP1","Norway",2090,6313.4
"SSP1","Norway",2095,6155.7
"SSP1","Norway",2100,5976.6
"SSP2","Norway",2020,5368
"SSP2","Norway",2025,5506.8
"SSP2","Norway",2030,5624.6
"SSP2","Norway",2035,5741.6
"SSP2","Norway",2040,5858
"SSP2","Norway",2045,5975.3
"SSP2","Norway",2050,6100.3
"SSP2","Norway",2055,6205.1
"SSP2","Norway",2060,6296.4
"SSP2","Norway",2065,6375
"SSP2","Norway",2070,6449.3
"SSP2","Norway",2075,6521.3
"SSP2","Norway",2080,6582.6
"SSP2","Norway",2085,6622.4
"SSP2","Norway",2090,6639.6
"SSP2","Norway",2095,6642.5
"SSP2","Norway",2100,6636.8
"SSP3","Norway",2020,5368
"SSP3","Norway",2025,5479
"SSP3","Norway",2030,5569.4
"SSP3","Norway",2035,5661.2
"SSP3","Norway",2040,5758
"SSP3","Norway",2045,5853.9
"SSP3","Norway",2050,5960.4
"SSP3","Norway",2055,6051.8
"SSP3","Norway",2060,6143.6
"SSP3","Norway",2065,6244.1
"SSP3","Norway",2070,6361.7
"SSP3","Norway",2075,6493.4
"SSP3","Norway",2080,6628.8
"SSP3","Norway",2085,6762.2
"SSP3","Norway",2090,6899.5
"SSP3","Norway",2095,7050.9
"SSP3","Norway",2100,7219.1
"SSP4","Norway",2020,5368
"SSP4","Norway",2025,5493.5
"SSP4","Norway",2030,5583.7
"SSP4","Norway",2035,5657.6
"SSP4","Norway",2040,5713.7
"SSP4","Norway",2045,5763.9
"SSP4","Norway",2050,5812.3
"SSP4","Norway",2055,5835
"SSP4","Norway",2060,5835
"SSP4","Norway",2065,5812.4
"SSP4","Norway",2070,5775.2
"SSP4","Norway",2075,5726.5
"SSP4","Norway",2080,5660.2
"SSP4","Norway",2085,5566.7
"SSP4","Norway",2090,5444.5
"SSP4","Norway",2095,5300.7
"SSP4","Norway",2100,5141
"SSP5","Norway",2020,5368
"SSP5","Norway",2025,5575
"SSP5","Norway",2030,5771.3
"SSP5","Norway",2035,5975.3
"SSP5","Norway",2040,6183
"SSP5","Norway",2045,6396.9
"SSP5","Norway",2050,6620.9
"SSP5","Norway",2055,6823.4
"SSP5","Norway",2060,7006.2
"SSP5","Norway",2065,7161.5
"SSP5","Norway",2070,7295
"SSP5","Norway",2075,7407.8
"SSP5","Norway",2080,7483
"SSP5","Norway",2085,7486.4
"SSP5","Norway",2090,7409.5
"SSP5","Norway",2095,7264
"SSP5","Norway",2100,7077.2
